text,agenda,command
сделай,Команда,1
,Команда,1
сказать,Команда,1
уйди,Команда,1
прийди,Команда,1
отойти,Команда,1
стой,Команда,1
иди,Команда,1
,Команда,1
давать,Команда,1
выбирать,Команда,1
,Команда,1
,Команда,1
сказать,Команда,1
говорить,Команда,1
знай,Команда,1
,Команда,1
,Команда,1
имей,Команда,1
видь,Команда,1
,Команда,1
живи,Команда,1
делать,Команда,1
,Команда,1
понимать,Команда,1
пойди,Команда,1
дать,Команда,1
спроси,Команда,1
получи,Команда,1
сиди,Команда,1
окажись,Команда,1
откажись,Команда,1
взять,Команда,1
найди,Команда,1
стой,Команда,1
,Команда,1
,Команда,1
,Команда,1
,Команда,1
,Команда,1
,Команда,1
,Команда,1
покажи,Команда,1
поставь,Команда,1
назвать,Команда,1
,Команда,1
,Команда,1
установи,Команда,1
подними,Команда,1
,Команда,1
,Команда,1
встань,Команда,1
проводить,Команда,1
брось,Команда,1
,Команда,1
убей,Команда,1
умри,Команда,1
,Команда,1
,Команда,1
,Команда,1
,Команда,1
,Команда,1
,Команда,1
,Команда,1
имей,Команда,1
стремись,Команда,1
удивись,Команда,1
,Команда,1
оставь,Команда,1
,Команда,1
,Команда,1
,Команда,1
,Команда,1
меняй,Команда,1
,Команда,1
,Команда,1
повернись,Команда,1
поворотись,Команда,1
возьмись,Команда,1
,Команда,1
,Команда,1
,Команда,1
,Команда,1
,Команда,1
приготовить,Команда,1
запекать,Команда,1
взять,Команда,1
взбейте,Команда,1
добавить,Команда,1
почистить,Команда,1
перемешайте,Команда,1
залейте,Команда,1
,Команда,1
,Команда,1
встать,Команда,1
сесть,Команда,1
разойтись,Команда,1
построиться,Команда,1
,Команда,1
покрасить,Команда,1
сделать,Команда,1
распознать,Команда,1
сказать,Команда,1
уйти,Команда,1
прийти,Команда,1
отойти,Команда,1
стоять,Команда,1
идти,Команда,1
назать,Команда,1
давать,Команда,1
выбирать,Команда,1
,Команда,1
молчать,Команда,1
сказать,Команда,1
говорить,Команда,1
знать,Команда,1
стоять,Команда,1
хотеть,Команда,1
иметь,Команда,1
видь,Команда,1
,Команда,1
живи,Команда,1
делать,Команда,1
,Команда,1
понимать,Команда,1
пойди,Команда,1
дать,Команда,1
спроси,Команда,1
получи,Команда,1
сиди,Команда,1
окажись,Команда,1
откажись,Команда,1
взять,Команда,1
найди,Команда,1
стой,Команда,1
,Команда,1
,Команда,1
,Команда,1
,Команда,1
,Команда,1
,Команда,1
,Команда,1
покажи,Команда,1
поставь,Команда,1
назвать,Команда,1
,Команда,1
,Команда,1
установи,Команда,1
подними,Команда,1
,Команда,1
,Команда,1
встань,Команда,1
проводить,Команда,1
брось,Команда,1
,Команда,1
убей,Команда,1
умри,Команда,1
,Команда,1
,Команда,1
,Команда,1
,Команда,1
,Команда,1
,Команда,1
,Команда,1
имей,Команда,1
стремись,Команда,1
удивись,Команда,1
,Команда,1
оставь,Команда,1
,Команда,1
,Команда,1
,Команда,1
,Команда,1
меняй,Команда,1
,Команда,1
,Команда,1
повернись,Команда,1
поворотись,Команда,1
возьмись,Команда,1
,Команда,1
,Команда,1
,Команда,1
,Команда,1
,Команда,1
приготовить,Команда,1
запекать,Команда,1
взять,Команда,1
взбейте,Команда,1
добавить,Команда,1
почистить,Команда,1
перемешайте,Команда,1
залейте,Команда,1
,Команда,1
,Команда,1
встать,Команда,1
сесть,Команда,1
разойтись,Команда,1
построиться,Команда,1
,Команда,1
покрась,Команда,1
сказать,Команда,1
