text,agenda,question
"У вас там есть «коллеги» (партнёры, соседи по комнате, братья, сестры, родители, домашние животные) рядом?",Вопрос,1
Ваш рабочий график изменился из-за введения удалённой работы?,Вопрос,1
Как вам больше нравится работать: удалённо или в офисе?,Вопрос,1
Какой у вас любимый аксессуар для работы из дома?,Вопрос,1
"Какой напиток вы предпочитаете, когда работаете дома? Кофе? Чай?",Вопрос,1
"У вас дома есть место, где вам работается наиболее продуктивно?",Вопрос,1
"Если бы вы могли модернизировать свою среду для работы из дома, что бы вы улучшили?",Вопрос,1
Каков ваш утренний распорядок?,Вопрос,1
Вы часто работаете в пижаме?,Вопрос,1
"У вас братья и сестры? Вы старший, средний или младший ребёнок в семье?",Вопрос,1
Где вы выросли?,Вопрос,1
У вас в детстве были домашние животные? Вы хотели иметь домашних животных?,Вопрос,1
Вы занимались спортом в детстве? Занимаетесь ли вы каким-нибудь видом спорта сейчас?,Вопрос,1
Вы говорите на других языках?,Вопрос,1
Какое ваше любимое место в мире?,Вопрос,1
Какой была ваша первая работа?,Вопрос,1
"Какой мультфильм был вашим любимым в детстве? Какой у вас был любимый персонаж мультфильма? Если он был из другого мультфильма, то почему?",Вопрос,1
Кто вдохновлял вас больше всех в жизни?,Вопрос,1
Какую семейную традицию вы бы хотели передать детям?,Вопрос,1
"Какой совет дали вам родители, бабушка или дедушка, которым вы хотели бы поделиться?",Вопрос,1
Какие предметы были вашими любимыми в школе?,Вопрос,1
Был ли у вас в детстве воображаемый друг? Кто это был такой?,Вопрос,1
Вас когда-нибудь принимали за знаменитость?,Вопрос,1
"Кто был самый известный человек, которого вы когда-либо встречали? Расскажите, как это произошло",Вопрос,1
В каком удовольствии вы никак не можете себе отказать?,Вопрос,1
Какой у вас был самый нелепый страх в детстве?,Вопрос,1
Какие у вас сейчас обои стоят на рабочем столе или на мобильном телефоне? Почему вы выбрали именно такую картинку?,Вопрос,1
"Расскажите о самом худшем дне, когда всё валилось из рук",Вопрос,1
"Если бы вы давали имя своему автомобилю, как бы вы его назвали?",Вопрос,1
Какая ваша любимая детская шутка-каламбур?,Вопрос,1
"Если бы вас назначили ведущим ток-шоу, какое шоу вы бы выбрали?",Вопрос,1
Какой Новый год вы встретили лучше всего? А хуже всего?,Вопрос,1
"Расскажите о неловком случае, который с вами произошёл",Вопрос,1
Из-за чего у вас в последний раз были неприятности?,Вопрос,1
Как бы вы озаглавили свою автобиографию?,Вопрос,1
"Если бы вы могли добавить термин в словарь, какое слово вы бы добавили, и что бы оно означало?",Вопрос,1
"Если бы вы могли вернуть какую-нибудь модную тенденцию или устаревшее жаргонное выражение, что бы это было?",Вопрос,1
"Если бы вам пришлось всю оставшуюся жизнь разговаривать как персонаж мультфильма, кого бы вы выбрали? Изобразите его",Вопрос,1
"Какой был самый худший совет, который вам когда-либо давали?",Вопрос,1
"Если бы вам пришлось съесть карандаш, какой цвет вы бы выбрали?",Вопрос,1
Какую книгу вы сейчас читаете? Какая ваша любимая книга?,Вопрос,1
Какая ваша любимая телепередача?,Вопрос,1
Какой ваш любимый фильм?,Вопрос,1
Какая ваша любимая песня?,Вопрос,1
"Какой был первый концерт, который вы посетили? Какой концерт был лучшим?",Вопрос,1
"Если бы вы оказались на необитаемом острове, какую книгу или предмет взяли бы с собой?",Вопрос,1
"Если бы вам довелось поужинать с какой-либо исторической фигурой, кто бы это был? А если с кем-то из ныне живущих знаменитостей?",Вопрос,1
"Какой был ваш самый лучший подарок? А подарок, который дарили вы сами?",Вопрос,1
У вас есть скрытые таланты?,Вопрос,1
"Кем вы хотели стать в детстве, когда вырастете?",Вопрос,1
"Если бы у вас была возможность исполнить три желания, что бы вы загадали?",Вопрос,1
"Если бы вы выиграли миллион долларов, что бы вы сделали прежде всего?",Вопрос,1
У вас есть хобби?,Вопрос,1
"Если бы в сутках был дополнительный час, что бы вы сделали?",Вопрос,1
Какую музыку вы любите?,Вопрос,1
Вы больше любите собак или кошек? Или и тех и других?,Вопрос,1
Какие пункты есть в вашем списке дел?,Вопрос,1
"Как вы думаете, в каком игровом телешоу вы могли бы победить?",Вопрос,1
"Если бы вы могли использовать только один смайлик до конца жизни, то какой?",Вопрос,1
Какая ваша любимая цитата из фильма?,Вопрос,1
Что вы считаете совершенно переоценённым?,Вопрос,1
"Если бы вы были спортсменом, какую песню вы бы выбрали для выхода на ринг?",Вопрос,1
Какую книгу вы хотели бы перечитать как будто в первый раз?,Вопрос,1
"Назовите фильм, который, по вашему мнению, должен иметь продолжение",Вопрос,1
"Если бы вам нужно было прямо сейчас отправить генеральному директору смайлик по электронной почте, какой бы вы выбрали?",Вопрос,1
"О чем вы первым делом подумали, когда проснулись сегодня утром?",Вопрос,1
Какой день был самым лучшим в вашей жизни?,Вопрос,1
"Если бы на Землю высадились инопланетяне, с кем бы вы посоветовали им поговорить?",Вопрос,1
"Как вы считаете, хот-дог — это бутерброд?",Вопрос,1
Какое ваше любимое туристическое направление?,Вопрос,1
Какое ваше любимое место?,Вопрос,1
Вы когда-нибудь выезжали за границу?,Вопрос,1
Горы или океан?,Вопрос,1
Снег или песок?,Вопрос,1
Куда вы отправились во время первого своего путешествия (которое вы помните)?,Вопрос,1
"Чем вы предпочитаете заниматься, когда никуда не выезжаете?",Вопрос,1
"Если бы вам пришлось переезжать в другую страну, какую вы бы выбрали?",Вопрос,1
Какая ваша любимая еда?,Вопрос,1
Какие ваши любимые начинки для пиццы?,Вопрос,1
Какой ваш любимый сорт мороженого?,Вопрос,1
Какой ваш любимый напиток для неформального общения?,Вопрос,1
"Если бы вы могли дать название коктейлю, как бы вы его назвали?",Вопрос,1
Острый или сладкий?,Вопрос,1
Какой ваш любимый ресторан быстрого питания?,Вопрос,1
"Было ли такое, что еда не понравилась вам на первый взгляд, но вы изменили своё мнение, когда её попробовали?",Вопрос,1
Что бы вы выбрали: отдых на пляже или путешествие с приключениями?,Вопрос,1
Что бы вы выбрали: быть в команде Мстителей или в Лиге справедливости?,Вопрос,1
Что бы вы выбрали: сняться в реалити-шоу про любовь или про приключения?,Вопрос,1
"Что бы вы выбрали: иметь особенную музыкальную тему для своей жизни или саундтрек, постоянно играющий на заднем плане?",Вопрос,1
Что бы вы выбрали: стать супергероем или лучшим в мире поваром?,Вопрос,1
"Что бы вы выбрали: участвовать в Олимпийских играх или снять фильм, номинированный на «Оскар»?",Вопрос,1
Что бы вы выбрали: спеть караоке с начальником отдела или принять участие в групповом звонке с генеральным директором и вашими родителями?,Вопрос,1
"Если бы вам пришлось жить в видеоигре, какую бы вы выбрали?",Вопрос,1
"Если бы вы могли обладать какой-нибудь суперспособностью, то какой именно?",Вопрос,1
Какое одно слово вы хотели бы убрать из словаря?,Вопрос,1
"Если бы вы могли стать животным, кем бы вы были?",Вопрос,1
"Если бы вы смогли управлять одной из стихий (воздухом, водой, землёй или огнём), какую бы вы выбрали и почему?",Вопрос,1
"Если бы вам пришлось жить в диснеевском фильме, какой бы вы выбрали?",Вопрос,1
