text,agenda,question
"Как вам больше нравится работать: дома или в офисе? Почему? Хотели бы вы совмещать удаленку и офисную работу и, если да, то как?",Вопрос,1
Что для вас самое сложное в удаленной работе? А самое простое?,Вопрос,1
У вас дома есть свой “офис” (отдельное рабочее место)?,Вопрос,1
Покажете нам свое “удаленное” рабочее место?,Вопрос,1
Где вы чаще всего работаете дома? За рабочим столом? За кухонным столом? На балконе? На диване? В любимом кресле?,Вопрос,1
"Давайте начистоту, как часто вы работаете лежа в постели?",Вопрос,1
"Как выглядят ваши утренние сборы, когда вы работаете дома и не нужно прихорашиваться для выхода в офис?",Вопрос,1
"Назовите ваш главный лайфхак, чтобы не отвлекаться во время работы из дома?",Вопрос,1
"Как вы сохраняете продуктивность и мотивацию, работая удаленно?",Вопрос,1
"Как выглядит ваш рабочий аутфит (наряд) для удаленки? Носите ли гавайские шорты под классическую рубашку, потому что на видеосвязи все равно не видно низ?",Вопрос,1
Сколько чашек кофе/чая в день вы выпиваете?,Вопрос,1
Вы жаворонок или сова? Когда удобнее всего работать и получается ли организовать удобный график удаленно?,Вопрос,1
"Как думаете, каким образом можно улучшить наши созвоны?",Вопрос,1
"Любите ли пить кофеиновые напитки (чай, кофе, кола) во время работы?",Вопрос,1
Какой стоящий фильм или сериал вы смотрели в последнее время?,Вопрос,1
Какую из прочитанных книг вы считаете лучшей и почему?,Вопрос,1
А что из профессиональной литературы считаете лучшим?,Вопрос,1
"Если бы вы могли освоить один новый hard skill в ближайшее время, что бы это было?",Вопрос,1
"Если бы вы могли развить один новый soft skill в ближайшее время, что бы это было?",Вопрос,1
Любите ли вы заниматься спортом? Какой вид спорта вам нравится больше всего?,Вопрос,1
"Если бы вы могли написать книгу, какой жанр вы бы выбрали? Фэнтези? Триллер? Роман? Историческая беллетристика? Профессиональная литература?",Вопрос,1
"Наступает зомби-апокалипсис, соберите для себя команду из трех человек. Почему именно этих людей вы выбрали?",Вопрос,1
Какой эмодзи/стикер вы используете чаще всего?,Вопрос,1
Расскажите про ваш худший/неуместный наряд?,Вопрос,1
А про худшую стрижку?,Вопрос,1
Какой у вас был любимый актер/актриса в детстве?,Вопрос,1
Сравнивают ли вас с кем-то из знаменитостей? С кем?,Вопрос,1
"Если бы вы могли вернуть какой-либо модный тренд, что бы это было?",Вопрос,1
Какой вид транспорта вы любите больше всего?,Вопрос,1
"Представьте, что ведете собственное вечернее ток-шоу. Кого бы вы пригласили в качестве первого гостя?",Вопрос,1
"Представьте, что по вашей биографии снимают фильм. Какой бы это был жанр и кто бы сыграл вас?",Вопрос,1
Хотите ли вы стать знаменитым? В какой сфере?,Вопрос,1
Любите петь в караоке? Какая ваша любимая песня?,Вопрос,1
Что из еды вы терпеть не могли в детстве? А как сейчас к этому относитесь?,Вопрос,1
