text,agenda,questionclass
рациональный системность интуитивный позитивизм хотя както коррелировать недедуцировать родовой множество неканторовский теория множество пол коэн сразу сталкиваться проблема вопервых условие философия служить истинностный процедура это означать истина производить суть дело ситуация известный смочь процитировать хотя философский высказывание который иметь смысл говорить оно “ истинно ” именно философия кон вовторых предполагать философия “ ”— план законно говорить философия определять какойлибо текст философский отношение находиться предполагать единство множественность условие каков узел четверица родовой процедура — матема поэма политический изобретение любовь философия собираться показывать оба проблема иметься ответ содержаться определение философия представлять недейственный истинность условие действенность истинный истинностный процедура процедура родовой отличаться накопление знание свой событийный происхождение пока случаться соответствовать правило некий положение вещь возможно познание правильный высказывание накопление знание невозможный истина истина парадоксальный одновременно внове следовательно — нечто редкостный исключительный затрагивать бытие истина являться наиболее прочный наибо лей говорить онтологически близкий исходный положение вещь,Нет классификации,0
возникать трудность помогать скатерть приятный концепция развязывать узел концептуальный мышление это подобно латентный болезнь блаженство это помогать поскольку проникать самый ядро зомби заблуждение сей пора бродить вокруг посчитать медитационный переживание высокий смочь достигать воззрение погрязать концепция очаровываться крупица самадхи думать ничто высокий это это совершенный самадхи смочь прорваться сквозь деятельность концептуальный мышление,Нет классификации,0
кривой национализация это политический компромисс сторона многочисленный рантье возникать вследствие приватизация сохранять возможность далеко получать свой рента паразитический класс существенно увеличиваться размер пополняться многочисленный представитель силовой бюрократия успевать первый раздача сторона весь превращаться условный держатель актив распоряжаться разрешение правительство который накладывать разнообразный обременение социальный коррупционный характер уродливый система основывать слегка задрапировывать голый насилие решать проблема порождать приватизация добавлять новый проблема становиться следствие порождать правовой беспредел именно попытка осуществлять скрытый национализация приводить окончательный превращение россия мафиозный государство путин лечить россия вылечивать,Нет классификации,0
вид биологический оружие действовать наверняка пример оспа ботулизм однако оно мочь приводить серьезный голодание бедный страна также финансовый род потеря проблема ряд страна число сша использовать заболевание рис качество биологический оружие время сша собирать огромный количество вредный гриб совершение потенциальный атака азия чума крупный рогатый скотакогда чингисхан вторгаться европа век случайно занести страшный биологический оружие чума крупный рогатый скот вызываться вирус который тесно связанный вирус корь влиять крупный рогатый скот жвачный животное коза бизон жираф состояние очень заразный вызывать повышение температура потеря аппетит дизентерия воспаление слизистый оболочка симптом сохраняться течение приблизительно день это животное правило погибать обезвоживание,Нет классификации,0
эль кусейра запад хомс сирийский пограничник преграждать путь несколько банда террорист наемник пытаться прорваться горный район калямун сирийский армия перекрывать весь подступ крупный плацдарм боевик северозапад дамаск алеппо сирийский военнослужащий освобождать город телль хасиль населенный курд информагентство сурия аль эн сообщать уничтожение штаб исламистский бригада таухид результат точечный удар сирийский ввс убивать тяжело ранить несколько полевой командир вместе ликвидировать наемник провинция хомс окрестности город тель каль район идлин аль гейда пограничник предотвращать попытка террорист проникать сирия ливан,Нет классификации,0
число ограничение продажа спиртной напиток нововведение область высокий образование категоричный негативный отношение право сексуальный меньшинство стрельба водомет баррикада участник акция протест стамбул крупный город турция главный торговый промышленный культурный центр основный порт страна участник протест бросать бутылка зажигательный смесь водометный машина время разгон демонстрация стамбульский полиция скупиться применять против собираться горожанин граната слезоточивый газ который пострадать сотня человек протестующий укрываться бросать бутылка зажигательный смесь водяной пушка увеличение число протестовать центр стамбул площадь становиться стекаться продавец горячий закуска турецкий фаст фуд таксим близлежащий улица располагаться десяток лоток который купить атрибут противостояние манифестант полиция,Нет классификации,0
бактериофобия верминофобия вермифобия гельминто сколецифобия боязнь червь заразный насекомое беленофобия см белонефобия белонофобия оксифобия боязнь острый предмет укалываться библиофобия боязнь книга библиотека блаптофобия боязнь наносить ктолибо поражение бленнофобия боязнь слизь богифобия фазмофобия боязнь призрак дух дьявол пугать большефобия боязнь большевик ботанофобия см ботонофобия боязнь растение бромгидрофобия см аутодизомофобия бромидросифобия боязнь собственный запах потливость бронтофобия кераунофобия боязнь гроза гром молния шторм буфонофобия батрахофобия боязнь лягушка жаба b вагинофобия боязнь женский гениталии бывать мужчина редко женщина вакцинофобия боязнь прививка венерофобия боязнь заболевать венерический болезнь венстрафобия калигинефобия боязнь красивый женщина вербофобия логофобия боязнь слово верминофобия бактериофобия бациллофобия вермифобия гельминто сколецифобия боязнь червь заразный насекомое вермифобия бактериофобия бациллофобия верминофобия гельминто сколецифобия боязнь бактерия микроб заражаться червь заразный насекомое вертигофобия динофобия боязнь головокружение вестифобия боязнь одеваться виккафобия боязнь колдун ведьма колдовство винофобия боязнь употреблять вино виргинитифобия боязнь изнасилование витрикофобия боязнь отчим вомитофобия эметофобия боязнь рвота г гадефобия боязнь ад гадиофобия агиофобия гиерофобия иерофобия боязнь священный предмет святыня священник галеофобия аклюрофобия гатофобия элурофобия боязнь кошка кот галифобия галлофобия франкофобия боязнь весь французский гамаксофобия боязнь колесный транспорт гамартофобия боязнь совершение недостойный поступок гамофобия гаметофобия боязнь женитьба брак гаптефобия афенфосмофобия афенфозмфобия гафефобия гаптофобия боязнь прикосновение гарпаксофобия клептофобия сцелерофобия боязнь вор грабитель кража гатофобия аклюрофобия галеофобия элурофобия боязнь кошка кот гафефобия афенфосмофобия афенфозмфобия гаптефобия гаптофобия боязнь прикосновение гедонофобия боязнь наслаждение удовольствие радость гексакосиойгексеконтагексафобия страх число попробовать выговаривать гелиофобия гелеофобия боязнь смех солнце загар гелленологофобия боязнь сложный научный терминология греческий терминология геллофобия боязнь весь греческий гельминто бактериофобия бациллофобия верминофобия вермифобия сколецифобия боязнь бактерия микроб заражаться гематофобия гемофобия гемафобия боязнь кровь генуфобия генофобия боязнь колено повреждение колено весь связывать вопрос половой различие гераскофобия геронтофобия боязнь старик старение германофобия тевтофобия боязнь весь немецкий герпетофобия боязнь рептилия пресмыкаться змей гетерофобия боязнь противоположный пол гефирофобия боязнь мост гиалофобия гиелофобия кристаллофобия боязнь стекло гидраргиофобия боязнь ртуть гидрозофобия боязнь вспотеть гидрофобия аквафобия боязнь вода сырость жидкость гидрофобофобия боязнь появление гидрофобия гиелофобия гиалофобия кристаллофобия боязнь стекло гиерофобия агиофобия иерофобия гадиофобия боязнь священный предмет святыня священник гилефобия боязнь материализм гилофобия ксилофобия никтогилофобия хилофобия боязнь лес темный заросль гимнофобия боязнь нагота гинекофобия гинефобия гинофобия феминофобия боязнь женщина гипегиафобия гипенгиофобия хепенгиофобия боязнь ответственность гипертрихофобия каэтофобия хаэтофобия боязнь волос гипнофобия клинофобия боязнь гипноз сон ложиться спать гипософобия акрофобия аэрокрофобия аэроносифобия ватеофобия гипсифобия боязнь высота гипофобия боязнь недостаточный чувство страх гиппофобия эквинофобия боязнь лошадь гипсифобия акрофобия аэрокрофобия аэроносифобия ватеофобия гипософобия боязнь высота гленофобия боязнь взгляд кукла глоссофобия пейрафобия боязнь публичный выступление гнозиофобия боязнь знание гобофобия боязнь нищий попрошайка годофобия боязнь путешествовать гомилофобия скопофобия боязнь общение окружающий привлекать внимание проповедь гоминофобия андрофобия аррхенфобия боязнь мужчина гомихлофобия хомиклофобия боязнь туман гомицидофобия боязнь совершать убийство гомофобия узкий понимание это боязнь гомосексуалист гомосексуальность широкий смысл это ненависть неприязнь гомосексуалист гомосексуальность гоплофобия боязнь огнестрельный оружие гормефобия боязнь шок шоковый ситуация гравидофобия боязнь встреча беременный беременность графофобия боязнь писать рука письменный принадлежность гумафобия гумофобия боязнь вкусовой ощущение д дейпнофобия дельпнофобия боязнь обед разговор обед декстрофобия боязнь весь находиться справа правосторонний дельпнофобия дейпнофобия боязнь обед разговор обед дементофобия боязнь безумие сумасшествие демонофобия сатанофобия боязнь демон дьявол злой дух нечистый сила демофобия охлофобия боязнь скопление человек толпа дендрофобия боязнь дерево дентофобия одонтофобия однотофобия боязнь дантист стоматолог лечение зуб дерматозиофобия дерматозифобия дерматопатофобия дерматофобия боязнь заражаться кожный заболевание дефекалоэзиофобия боязнь болезненный ощущение кишечник децидофобия боязнь принимать решение диабетофобия боязнь диабет дидаскалейнофобия сколинофобия боязнь школа дикефобия боязнь справедливость динофобия вертигофобия боязнь тошнота головокружение водоворот диплофобия боязнь раздвоение оптический феномен дипсофобия боязнь пить питие дисабиллофобия дисгабиллофобия боязнь раздеваться появляться обнаженный вид ктолибо дисморфофобия боязнь собственный внешность диспсихофобия боязнь сходить ум дистихифобия боязнь несчастный случай доксофобия боязнь благодарность выражать свой мнение доматофобия боязнь дом вообще пребывание дом домофобия клаустрофобия боязнь замкнутый пространство дорафобия боязнь мех шкура животное дорофобия боязнь получать делать подарок дромофобия боязнь уличный движение е евпофобия боязнь услышать хороший новость евресифобия боязнь идея отличаться общепринятый з зевсофобия боязнь бог зелофобия боязнь ревность земмифобия боязнь крыса зоофобия боязнь животное иатрофобия боязнь посещение врач идеофобия боязнь идея мышление иерофобия агиофобия гиерофобия гадиофобия боязнь священный предмет святыня священник изолофобия ануптафобия аутофобия монофобия эремифобия эремофобия боязнь одиночество безбрачие изоптерофобия боязнь насекомое поедать древесина термит иллингофобия боязнь головокружение взгляд вниз инсектофобия энтомофобия боязнь насекомое интимофобия боязнь первый интимный связь инфарктофобия боязнь инфаркт миокард иофобия боязнь яд отравление ипохондрия нозофобия патофобия молизмофобия боязнь заболевать исидеродромофобия боязнь дорожный колея путь итифаллофобия боязнь созерцание мысль эрегировать половой член ихтиофобия боязнь рыба каинофобия каинолофобия каинотофобия кентофобия боязнь новость кайнофобия неофобия боязнь новизна кайрофобия боязнь перемена появление незнакомый человек какоррафиофобия боязнь поражение неудача какофобия тератофобия боязнь урод калигинефобия венстрафобия боязнь красивый женщина канцерофобия карцинофобия кацерофобия боязнь заболевать рак злокачественный опухоль кардиофобия боязнь инфаркт смерть сердечный заболевание карнофобия боязнь мясо карцинофобия канцерофобия кацерофобия боязнь заболевать рак злокачественный опухоль катагелофобия боязнь осмеивать становиться объект насмешка катапедафобия боязнь прыжок катизофобия катисофобия боязнь сидеть катоптрофобия спектрофобия эйзоптрофобия боязнь зеркало каунтерфобия боязнь испугаться кацерофобия канцерофобия карцинофобия боязнь заболевать рак злокачественный опухоль каэтофобия гипертрихофобия хаэтофобия боязнь волос кейрофобия боязнь порез стрижка парикмахер кенофобия боязнь пустота открытый пространство кентофобия каинофобия каинолофобия каинотофобия боязнь новость кераунофобия бронтофобия боязнь гроза гром молния шторм киберофобия киберфобия боязнь компьютер киберфобия киберофобия боязнь компьютер бывать кибофобия боязнь еда кимофобия боязнь волна волнообразный движение кинесофобия кинетофобия боязнь двигаться движение кинофобия боязнь бешенство собака кионофобия хионофобия боязнь снег киприанофобия кипридофобия боязнь венерический заболевание проститутка кифофобия боязнь сутулость наклон клаустрофобия домофобия боязнь замкнутый пространство клейзиофобия клейтрофобия боязнь оказываться замкнутый пространство клептофобия сцелерофобия гарпаксофобия боязнь вор грабитель кража климакофобия климактофобия боязнь ходьба лестница лестница клинофобия гипнофобия боязнь гипноз сон ложиться спать книдофобия боязнь жалить насекомое коинофобия боязнь помещение собираться человек коитофобия эротофобия коллофобия колпофобия боязнь любовь половой акт женский гениталии койметрофобия боязнь кладбище койнонифобия боязнь комната вообще кометофобия боязнь комета кониофобия аматофобия боязнь пыль контрафобия боязнь противостояние контрелтофобия контрельтофобия боязнь сексуальный домогательство копофобия боязнь усталость переутомление копрастазофобия боязнь запор копрофобия боязнь фекалии космикофобия боязнь космический явление космос коулрофобия боязнь клоун кремнофобия боязнь пропасть овраг криминофобия боязнь совершать преступление криофобия психрофобия чеймофобия фригофобия боязнь холод кристаллофобия гиалофобия гиелофобия боязнь стекло ксантофобия боязнь желтый цвет ксенофобия боязнь иностранец незнакомый человек ксерофобия боязнь сухость засуха ксилофобия никтогилофобия хилофобия гилофобия боязнь лес деревянный предмет ксирофобия боязнь бритва кхерофобия боязнь развлечение кхорофобия хорофобия боязнь танец л лалиофобия боязнь говорить лалофобия боязнь говорить изза возникновение заикание латерофобия боязнь лежать бок лаханофобия боязнь овощ левофобия боязнь весь находиться слева левосторонний лейкофобия боязнь белый цвет лепрофобия боязнь заболевать проказа лепра лигирофобия боязнь громкий шум лигрофобия боязнь темный место лилапсофобия боязнь ураган лимнофобия боязнь озеро лиссофобия маниофобия боязнь психический заболевание расстройство литикафобия боязнь суд логофобия вербофобия боязнь слово луифобия люофобия боязнь сифилис люофобия луифобия боязнь сифилис лютрафобия боязнь выдра м магейрокофобия боязнь готовить макрофобия боязнь долго ждать ожидание малевзиофобия токофобия боязнь род маниофобия лиссофобия боязнь психический заболевание расстройство мастигофобия боязнь порка наказание мегалофобия боязнь большой предмет медомалакуфобия боязнь потеря эрекция медортофобия боязнь пенис состояние эрекция меланофобия боязнь весь черный черный цвет мелиссоффобия апифобия боязнь пчела ос мелофобия боязнь музыка менгофобия менофобия боязнь менструация менингитофобия боязнь заболевание мозг менофобия менгофобия боязнь менструация меринтофобия боязнь оказываться связывать веревка металлофобия боязнь металл металлический предмет метеорофобия боязнь метеор метилофобия боязнь алкоголь метрофобия боязнь поэзия механофобия боязнь машина механизм мизофобия аутомизофобия рипофобия боязнь загрязнение прикосновение окружающий предмет микофобия боязнь гриб микрофобия боязнь маленький предмет миксеофобия боязнь совершение половой акт изза необходимость обнажать половой орган рикасаться тело партнер мирмекофобия боязнь муравей мифофобия боязнь миф сказка мнемофобия боязнь воспоминание молизмофобия нозофобия ипохондрия патофобия боязнь заболевать монопатофобия боязнь определенный болезнь монофобия ануптафобия аутофобия изолофобия эремифобия эремофобия боязнь одиночество безбрачие морфинофобия боязнь пристращаться морфий моторофобия амаксофобия боязнь автомобиль моттефобия боязнь моль музофобия боязнь мышь мезофобия навязчивый страх загрязнение либо заражение стремление избегать соприкосновение окружающий предмет н некрофобия боязнь труп похоронный принадлежность неофармофобия боязнь новый лекарство неофобия кайнофобия боязнь новизна нефофобия боязнь облако никтогилофобия ксилофобия хилофобия гилофобия боязнь лес темный заросль никтофобия ахлуофобия скотофобия эклуофобия боязнь темнота ночь нозокомефобия боязнь больница нозофобия ипохондрия патофобия молизмофобия боязнь заболевать номатофобия боязнь имя номофобия боязнь оставаться мобильный телефон связь ностофобия боязнь возвращаться домой нуклеомитуфобия боязнь ядерный оружие нумерофобия боязнь число вообще обезофобия боязнь растолстеть обсессия боязнь навязчивый состояние однотофобия дентофобия одонтофобия боязнь дантист стоматолог лечение зуб одонтофобия дентофобия однотофобия боязнь дантист стоматолог лечение зуб ойкофобия боязнь возвращение домой психиатрический больница ойнофобия боязнь вино оксифобия беленофобия белонефобия белонофобия боязнь острый предмет укалываться октофобия боязнь число восемь ольфактофобия боязнь запах омброфобия боязнь дождь омматофобия омметафоб онанофобия боязнь вредный последствие онанизм онейрогмофобия боязнь ночной эякуляция онейрофобия боязнь сон ооцитофобия боязнь яйцо опиофобия боязнь лечиться врач оптофобия боязнь открывать глаз орнитофобия авиафобия боязнь птица осмофобия боязнь телесный запах оспеосиофобия боязнь человеческий запах остраконофобия боязнь моллюск офидиофобия эпистемофобия боязнь змей охлофобия демофобия боязнь скопление человек толпа п панафобия пантофобия панофобия боязнь мочь происходить папафобия боязнь папа римский папирофобия боязнь бумага паразитофобия боязнь насекомое паразит блоха клоп заболевать паразитарный кожный заболевание паралипофобия боязнь ошибочный действие парапофобия боязнь исполнять свой долг парафобия боязнь сексуальный извращение партенофобия боязнь невинный девушка патофобия нозофобия ипохондрия молизмофобия боязнь заболевать патройофобия боязнь наследственность наследственный заболевание педиофобия боязнь кукла детский игрушка педофобия боязнь ребенок рождение ребенок пейрафобия глоссофобия боязнь публичный выступление пеладофобия фалакрофобия боязнь лысый облысение пениафобия боязнь бедность обнищание бедный пентерафобия боязнь теща свекровь петтофобия боязнь неудержание кишечный газ присутствие посторонний пирофобия арсонфобия боязнь огонь пожар плакофобия боязнь могила плутофобия боязнь богатство пнигофобия боязнь оказываться задушить погонофобия погофобия боязнь борода бородатый полиозофобия боязнь полиомиелит политикофобия боязнь политик полифобия боязнь многий фобия страх наличие многий фобия страх порфирофобия боязнь пурпурный потамофобия боязнь река текущий вода примейзодофобия боязнь потерять невинность проктофобия боязнь геморрой проктит прософобия боязнь прогресс психофобия боязнь душа психрофобия чеймофобия фригофобия криофобия боязнь холод птеронофобия боязнь птичий перо р рабдофобия боязнь физический моральный наказание радиофобия боязнь радиация ректофобия боязнь иметь стул рипофобия мизофобия аутомизофобия боязнь загрязнение прикосновение окружающий предмет ритифобия боязнь морщина руброфобия эритофобия эрейтофобия эритрофобия боязнь красный цвет покраснеть русофобия боязнь весь русский сатанофобия демонофобия боязнь демон дьявол злой дух нечистый сила селафобия боязнь вспышка свет селахофобия боязнь акула селенофобия боязнь луна сеплофобия боязнь гниль сидеродромофобия боязнь езда поезд электричка симболофобия боязнь неблагоприятный предзнаменование симметрофобия боязнь симметрия сингенезофобия боязнь родственник синофобия боязнь весь китайский ситиофобия ситофобия боязнь прием пища ситофобия ситиофобия боязнь прием пища сифилофобия боязнь заболевать сифилис скабиофобия боязнь заболевать чесотка скиофобия сциопофобия боязнь тень сколецифобия бактериофобия бациллофобия верминофобия вермифобия гельминто боязнь бактерия микроб заражаться сколинофобия дидаскалейнофобия боязнь школа скопофобия гомилофобия скоптофобия боязнь общение окружающий привлекать внимание проповедь пристальный разглядывание скоптофобия скопофобия боязнь пристальный разглядывание скотомафобия скотомофобия боязнь слепота скотофобия никтофобия ахлуофобия эклуофобия боязнь темнота ночь сомнифобия боязнь спать сотериофобия боязнь зависимость софофобия боязнь учиться социофобия боязнь общество контакт оценка окружающий спацефобия боязнь пустой пространство спектрофобия катоптрофобия эйзоптрофобия боязнь зеркало спидофобия боязнь заболевать спид стазобазофобия базистазифобия базостазофобия боязнь стояние стасифобия боязнь вставание стаурофобия боязнь крест распятие стенофобия боязнь узкий коридор сцелерофобия клептофобия гарпаксофобия боязнь вор грабитель кража сциопофобия скиофобия боязнь тень т табофобия боязнь заболевать спинной сухотка талассофобия боязнь море океан купание море танатофобия боязнь смерть таурофобия боязнь бык тафефобия боязнь погребать заживо похороны театрофобия боязнь театр тевтофобия германофобия боязнь весь немецкий текстофобия боязнь ткань телеофобия теофобия боязнь религия бог телефонофобия боязнь телефон ожидание телефонный звонок тениофобия боязнь заболеть глист теологикофобия боязнь теология теофобия телеофобия боязнь религия бог тератофобия какофобия боязнь урод термофобия боязнь жара тепло технофобия боязнь техника токофобия малевзиофобия боязнь род токсикофобия боязнь отравление томофобия боязнь хирургический операция топофобия боязнь оставаться помещение стихийный бедствие травматофобия боязнь травма тредекафобия трискадекафобия трискайдекафобия боязнь число тринадцать тремофобия боязнь дрожание трипанофобия боязнь ранение трискадекафобия тредекафобия трискайдекафобия боязнь число тринадцать трискайдекафобия тредекафобия трискадекафобия боязнь число тринадцать трихофобия боязнь попадание волос пища одежда поверхность тело тропофобия боязнь переезд перемена туберкулезофобия фтизиофобия боязнь заболевать туберкулез туннелефобия боязнь следование транспорт пешком тоннель уранофобия боязнь рая смотреть небо урофобия боязнь мочиться ф фагофобия боязнь подавиться пища фазмофобия богифобия боязнь призрак дух дьявол пугать фалакрофобия пеладофобия боязнь облысение фармакофобия боязнь лечиться принимать лекарство фасмофобия боязнь привидение фебрифобия боязнь заболевать грипп фенгофобия фотофобия боязнь свет филемафобия боязнь целоваться философобия боязнь философия филофобия боязнь влюбленность фобиофобия фобофобия боязнь фобия страх появление симптом страх фонофобия акустикофобия боязнь звук разговор телефон фотоауглифобия боязнь яркий свет фотофобия фенгофобия боязнь свет франкофобия галифобия галлофобия боязнь весь французский фригофобия психрофобия чеймофобия криофобия боязнь холод фронемофобия боязнь думать фтизиофобия туберкулезофобия боязнь заболевать туберкулез фтириофобия боязнь вошь х хайрофобия боязнь появление чувство радость веселие неподобающий обстановка например похороны харпаксофобия боязнь разбойник грабитель хаэтофобия гипертрихофобия каэтофобия боязнь волос хепенгиофобия гипенгиофобия гипегиафобия боязнь ответственность херофобия боязнь веселие хилофобия ксилофобия никтогилофобия гилофобия боязнь лес темный заросль хионофобия кионофобия боязнь снег хирофобия боязнь рука хомиклофобия гомихлофобия боязнь туман хорофобия кхорофобия боязнь заболевать холера танец хрематофобия хрометофобия боязнь деньги хроматофобия боязнь какойлибо цвет окрашивать предмет хрометофобия хрематофобия боязнь деньги хромофобия боязнь цвет вообще хронометрофобия хронофобия боязнь час время хронофобия хронометрофобия боязнь час время ц ценофобия боязнь пустой комната цибофобия боязнь пища циклофобия боязнь велосипед ч чеймофобия психрофобия фригофобия криофобия боязнь холод э эвфобия боязнь хороший новость эйзоптрофобия катоптрофобия спектрофобия боязнь зеркало эйкофобия боязнь окрестность дом эйсоптрофобия боязнь собственный отражение зеркало эйхофобия боязнь произносить выслушивать добрый пожелание эквинофобия гиппофобия боязнь лошадь эккесиофобия экклезиофобия боязнь церковь экклезиофобия эккесиофобия боязнь церковь эклуофобия никтофобия ахлуофобия скотофобия боязнь темнота ночь экофобия боязнь свой дом элевтерофобия элейтерофобия боязнь свобода освобождение элейтерофобия элевтерофобия боязнь свобода освобождение электрофобия боязнь электричество элурофобия аклюрофобия галеофобия гатофобия боязнь кошка кот эметофобия вомитофобия боязнь рвота эмихофобия боязнь царапина энетофобия айхмофобия боязнь булавка колющий предмет эниссофобия боязнь критика энозиофобия боязнь согрешать энохлофобия боязнь толпа энтомофобия инсектофобия боязнь насекомое эозофобия боязнь день рассвет солнечный свет эпистаксиофобия эпистаксофобия боязнь насморк эпистаксофобия эпистаксиофобия боязнь насморк эпистемофобия офидиофобия боязнь змей см офидиофобия эргазиофобия боязнь оперировать врач хирург эргофобия боязнь работать совершать какойлибо действие эрейтофобия эритофобия эритрофобия руброфобия боязнь красный цвет покраснеть эремифобия ануптафобия аутофобия изолофобия монофобия эремофобия боязнь одиночество безбрачие эритрофобия эритофобия эрейтофобия руброфобия боязнь красный цвет покраснеть эротофобия коллофобия колпофобия коитофобия боязнь любовь половой акт женский гениталии эфебифобия боязнь подросток ю юдофобия боязнь весь еврейский японофобия боязнь весь японский ятрофобия боязнь врач источник википедия ужос находить свой веселый вечер,Нет классификации,0
