"text","agenda","hi_th_command"
сделай,Команда,1
распознай,Команда,1
✋,Приветствие,2
✋,Приветствие,2
✋,Приветствие,2
✋,Приветствие,2
✋,Приветствие,2
прифок,Приветствие,2
хай,Приветствие,2
приет,Приветствие,2
дратуть,Приветствие,2
скажи,Команда,1
хай,Приветствие,2
хай,Приветствие,2
хай,Приветствие,2
хай,Приветствие,2
хай,Приветствие,2
хай,Приветствие,2
приет,Приветствие,2
приветствие,Приветствие,2
🙋,Приветствие,2
привет,Приветствие,2
коллега добрый день,Приветствие,2
добрый вечер,Приветствие,2
добро пожаловать,Приветствие,2
слава ухань,Приветствие,2
дратуть,Приветствие,2
уйди,Команда,1
прифок,Приветствие,2
прифок,Приветствие,2
прифок,Приветствие,2
прифок,Приветствие,2
прифок,Приветствие,2
хай,Приветствие,2
приет,Приветствие,2
дратуть,Приветствие,2
прийди,Команда,1
привет,Приветствие,2
привет,Приветствие,2
привет,Приветствие,2
✋,Приветствие,2
прифок,Приветствие,2
хай,Приветствие,2
приет,Приветствие,2
дратуть,Приветствие,2
отойди,Команда,1
привет,Приветствие,2
привет,Приветствие,2
привет,Приветствие,2
привет,Приветствие,2
прифок,Приветствие,2
хай,Приветствие,2
приет,Приветствие,2
приет,Приветствие,2
приет,Приветствие,2
приет,Приветствие,2
приет,Приветствие,2
приет,Приветствие,2
✋,Приветствие,2
прифок,Приветствие,2
хай,Приветствие,2
приет,Приветствие,2
приет,Приветствие,2
приет,Приветствие,2
приет,Приветствие,2
приет,Приветствие,2
✋,Приветствие,2
✋,Приветствие,2
прифок,Приветствие,2
хай,Приветствие,2
приет,Приветствие,2
хай,Приветствие,2
приет,Приветствие,2
дратуть,Приветствие,2
стой,Команда,1
привет,Приветствие,2
иди,Команда,1
привет,Приветствие,2
привет,Приветствие,2
привет,Приветствие,2
✋,Приветствие,2
прифок,Приветствие,2
хай,Приветствие,2
приет,Приветствие,2
дратуть,Приветствие,2
накажи,Команда,1
привет,Приветствие,2
привет,Приветствие,2
привет,Приветствие,2
✋,Приветствие,2
прифок,Приветствие,2
хай,Приветствие,2
приет,Приветствие,2
приветствие,Приветствие,2
🙋,Приветствие,2
привет,Приветствие,2
коллега добрый день,Приветствие,2
добрый вечер,Приветствие,2
добро пожаловать,Приветствие,2
слава ухань,Приветствие,2
🙋 ‍ ♀ ️,Приветствие,2
🙋,Приветствие,2
👋 sticker,Приветствие,2
👋 sticker,Приветствие,2
👋 sticker,Приветствие,2
👋 sticker,Приветствие,2
👋 sticker,Приветствие,2
👋 sticker,Приветствие,2
привет весь,Приветствие,2
дратуть,Приветствие,2
давай,Команда,1
привет,Приветствие,2
привет,Приветствие,2
привет,Приветствие,2
✋,Приветствие,2
прифок,Приветствие,2
хай,Приветствие,2
приет,Приветствие,2
дратуть,Приветствие,2
выбирай,Команда,1
привет,Приветствие,2
привет,Приветствие,2
привет,Приветствие,2
✋,Приветствие,2
прифок,Приветствие,2
хай,Приветствие,2
приет,Приветствие,2
приветствие,Приветствие,2
🙋,Приветствие,2
привет,Приветствие,2
коллега добрый день,Приветствие,2
добрый вечер,Приветствие,2
добро пожаловать,Приветствие,2
слава ухань,Приветствие,2
дратуть,Приветствие,2
будь,Команда,1
привет,Приветствие,2
привет,Приветствие,2
привет,Приветствие,2
✋,Приветствие,2
прифок,Приветствие,2
хай,Приветствие,2
приет,Приветствие,2
дратуть,Приветствие,2
молчи,Команда,1
привет,Приветствие,2
привет,Приветствие,2
привет,Приветствие,2
✋,Приветствие,2
прифок,Приветствие,2
