text,agenda,questionclass
пасмурно небольшой снег температура давлениеветер западный,Погода,1
пасмурно осадки температура давлениеветер западный,Погода,1
пасмурно небольшой снег температура давлениеветер северный,Погода,1
пасмурно небольшой снег температура давлениеветер северовосточный,Погода,1
пасмурно небольшой снег температура давлениеветер северовосточный,Погода,1
пасмурно небольшой снег температура давлениеветер северовосточный,Погода,1
пасмурно небольшой снег температура давлениеветер северовосточный,Погода,1
пасмурно небольшой снег температура давлениеветер восточный,Погода,1
пасмурно небольшой снег температура давлениеветер восточный,Погода,1
ясно осадки температура давлениеветер юговосточный,Погода,1
ясно осадки температура давлениеветер юговосточный,Погода,1
ясно осадки температура давлениеветер юговосточный,Погода,1
ясно осадки температура давлениеветер южный,Погода,1
ясно осадки температура давлениеветер южный,Погода,1
облачно осадки температура давлениеветер южный,Погода,1
малооблачный осадки температура давлениеветер южный,Погода,1
пасмурно осадки температура давлениеветер южный,Погода,1
пасмурно осадки температура давлениеветер южный,Погода,1
малооблачный осадки температура давлениеветер южный,Погода,1
малооблачный осадки температура давлениеветер южный,Погода,1
малооблачный осадки температура давлениеветер южный,Погода,1
малооблачный осадки температура давлениеветер юговосточный,Погода,1
малооблачный осадки температура давлениеветер юговосточный,Погода,1
малооблачный осадки температура давлениеветер юговосточный,Погода,1
ясно осадки температура давлениеветер юговосточный,Погода,1
ясно осадки температура давлениеветер юговосточный,Погода,1
ясно осадки температура давлениеветер юговосточный,Погода,1
ясно осадки температура давлениеветер южный,Погода,1
ясно осадки температура давлениеветер югозападный,Погода,1
ясно осадки температура давлениеветер юговосточный,Погода,1
ясно осадки температура давлениеветер восточный,Погода,1
ясно осадки температура давлениеветер восточный,Погода,1
ясно осадки температура давлениеветер восточный,Погода,1
ясно осадки температура давлениеветер северовосточный,Погода,1
ясно осадки температура давлениеветер северовосточный,Погода,1
облачно осадки температура давлениеветер северовосточный,Погода,1
малооблачный осадки температура давлениеветер северовосточный,Погода,1
облачно осадки температура давлениеветер северовосточный,Погода,1
пасмурно осадки температура давлениеветер штиль oct,Погода,1
пасмурно осадки температура давлениеветер северовосточный,Погода,1
пасмурно время ливень температура давлениеветер штиль oct,Погода,1
пасмурно осадки температура давлениеветер штиль oct,Погода,1
пасмурно время ливень температура давлениеветер северозападный,Погода,1
пасмурно осадки температура давлениеветер северозападный,Погода,1
пасмурно осадки температура давлениеветер западный,Погода,1
пасмурно осадки температура давлениеветер северозападный,Погода,1
пасмурно осадки температура давлениеветер западный,Погода,1
пасмурно небольшой дождь температура давлениеветер западный,Погода,1
пасмурно осадки температура давлениеветер западный,Погода,1
пасмурно осадки температура давлениеветер западный,Погода,1
пасмурно осадки температура давлениеветер западный,Погода,1
облачно осадки температура давлениеветер западный,Погода,1
малооблачный осадки температура давлениеветер западный,Погода,1
пасмурно осадки температура давлениеветер западный,Погода,1
пасмурно осадки температура давлениеветер северозападный,Погода,1
пасмурно осадки температура давлениеветер северный,Погода,1
пасмурно осадки температура давлениеветер северный,Погода,1
малооблачный осадки температура давлениеветер северный,Погода,1
пасмурно время ливень температура давлениеветер северный,Погода,1
пасмурно осадки температура давлениеветер северный,Погода,1
пасмурно осадки температура давлениеветер северозападный,Погода,1
пасмурно осадки температура давлениеветер северозападный,Погода,1
пасмурно небольшой дождь температура давлениеветер северозападный,Погода,1
пасмурно осадки температура давлениеветер северозападный,Погода,1
пасмурно осадки температура давлениеветер северозападный,Погода,1
пасмурно осадки температура давлениеветер западный,Погода,1
пасмурно осадки температура давлениеветер западный,Погода,1
пасмурно осадки температура давлениеветер западный,Погода,1
пасмурно осадки температура давлениеветер северозападный,Погода,1
пасмурно осадки температура давлениеветер северозападный,Погода,1
пасмурно осадки температура давлениеветер северный,Погода,1
пасмурно осадки температура давлениеветер северный,Погода,1
пасмурно осадки температура давлениеветер северный,Погода,1
пасмурно осадки температура давлениеветер северный,Погода,1
пасмурно осадки температура давлениеветер северовосточный,Погода,1
пасмурно осадки температура давлениеветер северовосточный,Погода,1
пасмурно осадки температура давлениеветер северовосточный,Погода,1
ясно осадки температура давлениеветер северовосточный,Погода,1
малооблачный осадки температура давлениеветер северовосточный,Погода,1
ясно осадки температура давлениеветер северовосточный,Погода,1
пасмурно осадки температура давлениеветер северовосточный,Погода,1
пасмурно осадки температура давлениеветер северовосточный,Погода,1
пасмурно небольшой дождь температура давлениеветер северо восточный,Погода,1
пасмурно небольшой дождь температура давлениеветер северовосточный,Погода,1
пасмурно небольшой дождь температура давлениеветер северо восточный,Погода,1
пасмурно небольшой дождь температура давлениеветер северовосточный,Погода,1
пасмурно небольшой дождь температура давлениеветер восточный,Погода,1
пасмурно небольшой дождь температура давлениеветер восточный,Погода,1
пасмурно осадки температура давлениеветер восточный,Погода,1
пасмурно осадки температура давлениеветер восточный,Погода,1
пасмурно осадки температура давлениеветер северовосточный,Погода,1
пасмурно осадки температура давлениеветер северовосточный,Погода,1
пасмурно осадки температура давлениеветер северовосточный,Погода,1
