text,agenda,question
как дело ?,Вопрос,1
как дело ?,Вопрос,1
как дело ?,Вопрос,1
asfgag,Не вопрос,0
фыфппфа,Не вопрос,0
фыфппфа,Не вопрос,0
как дело ?,Вопрос,1
как дело ?,Вопрос,1
как дело ?,Вопрос,1
как дело ?,Вопрос,1
как дело ?,Вопрос,1
как дело ?,Вопрос,1
как погода ?,Вопрос,1
как дело ?,Вопрос,1
как дело ?,Вопрос,1
фуфпыфпыф,Не вопрос,0
фырпфыпф,Не вопрос,0
как ты добираться сюда ?,Вопрос,1
как ты добираться сюда ?,Вопрос,1
дообучаться,Не вопрос,0
даров,Не вопрос,0
привея,Не вопрос,0
привет,Вопрос,1
как дело ?,Вопрос,1
как дело ?,Вопрос,1
как дело ?,Вопрос,1
"запорашивать нахальный пух ,",Не вопрос,0
"запорашивать нахальный пух ,",Не вопрос,0
"запорашивать нахальный пух ,",Не вопрос,0
"запорашивать нахальный пух ,",Не вопрос,0
"запорашивать нахальный пух ,",Не вопрос,0
"запорашивать нахальный пух ,",Не вопрос,0
запорашивать нахальный пух,Не вопрос,0
?,Вопрос,1
как погода ?,Вопрос,1
как дело ?,Вопрос,1
что такой нож?,Вопрос,1
что такой нож?,Вопрос,1
как погода?,Вопрос,1
как погода?,Вопрос,1
как погода?,Вопрос,1
как погода?,Вопрос,1
как погода?,Вопрос,1
