text,agenda,questionclass
цель,Нет классификации,0
место,Нет классификации,0
погода,Погода,1
дело,Дело,2
дело,Дело,2
дело,Дело,2
идти дело,Дело,2
оно,Дело,2
оно,Дело,2
заниматься,Нет классификации,0
заниматься весь время,Нет классификации,0
заниматься весь время,Нет классификации,0
особенный вопрос ответ,Нет классификации,0
особенный,Нет классификации,0
особенный,Нет классификации,0
oh ’ really great complaints ’ going,Нет классификации,0
,Нет классификации,0
,Нет классификации,0
,Нет классификации,0
,Нет классификации,0
,Нет классификации,0
,Нет классификации,0
long,Нет классификации,0
,Нет классификации,0
much,Нет классификации,0
many,Нет классификации,0
whose,Нет классификации,0
,Нет классификации,0
хотеть свой день рождение,Нет классификации,0
аудитория твой,Нет классификации,0
планировать путешествовать,Нет классификации,0
твой экзамен,Нет классификации,0
собираться навещать люся,Нет классификации,0
почему ходить парк вчера,Нет классификации,0
долго оставаться лондон,Нет классификации,0
удаваться получать диплом,Нет классификации,0
сколько человек твой офис,Нет классификации,0
сколько деньги нужно,Нет классификации,0
чей это машина,Нет классификации,0
звонить прошлый ночь,Нет классификации,0
приводить твой сестра школа,Нет классификации,0
заставлять улыбаться,Нет классификации,0
call last night,Нет классификации,0
brought sister school,Нет классификации,0
makes smile,Нет классификации,0
much money need,Нет классификации,0
call last night,Нет классификации,0
go park yesterday,Нет классификации,0
going visit lucy,Нет классификации,0
exam,Нет классификации,0
plan travel,Нет классификации,0
classroom,Нет классификации,0
want birthday,Нет классификации,0
откуда узнавать вакансия,Нет классификации,0
знать наш компания,Нет классификации,0
почему должный нанимать именно,Нет классификации,0
качество помогать работа,Нет классификации,0
считать свой слабость,Нет классификации,0
рассказывать трудность конфликт который сталкиваться работа решать проблема,Нет классификации,0
видеть пять год,Нет классификации,0
почему уходить текущий место работа,Нет классификации,0
ходить собеседование компания,Нет классификации,0
преодолевать стресс,Нет классификации,0
преодолевать волнение,Нет классификации,0
хобби любить делать,Нет классификации,0
руководитель коллега мочь описывать,Нет классификации,0
обстановка предпочитать работать,Нет классификации,0
ждать новый работа,Нет классификации,0
почему хотеть получать работа,Нет классификации,0
почему увольнять,Нет классификации,0
почему должность освобождаться,Нет классификации,0
сколько собеседование нужно проходить прежде смочь принимать решение относительно кандидатура,Нет классификации,0
оборудование программный обеспечение предстоять работать,Нет классификации,0
работать,Нет классификации,0
работать команда,Нет классификации,0
нужный профессиональный консультация,Нет классификации,0
работать,Нет классификации,0
работать команда,Нет классификации,0
нужный профессиональный консультация,Нет классификации,0
нужный профессиональный консультация,Нет классификации,0
нужный профессиональный консультация,Нет классификации,0
business,Дело,2
дело — — отвечать — порядок,Дело,2
дело —,Дело,2
дело — — отвечать —,Дело,2
твой дело —  — мочь помогать,Дело,2
твой дело,Дело,2
погода,Погода,1
дело,Дело,2
дело,Дело,2
дело,Дело,2
идти дело,Дело,2
оно,Дело,2
оно,Дело,2
business,Дело,2
дело — — отвечать — порядок,Дело,2
дело —,Дело,2
дело — — отвечать —,Дело,2
твой дело —  — мочь помогать,Дело,2
твой дело,Дело,2
погода,Погода,1
дело,Дело,2
дело,Дело,2
дело,Дело,2
идти дело,Дело,2
оно,Дело,2
оно,Дело,2
business,Дело,2
дело — — отвечать — порядок,Дело,2
дело —,Дело,2
дело — — отвечать —,Дело,2
твой дело —  — мочь помогать,Дело,2
твой дело,Дело,2
погода москва год очень хороший,Погода,1
дождь,Погода,1
снег,Погода,1
град,Погода,1
изморось,Погода,1
солнце ярко светить,Погода,1
небо ясный,Погода,1
небо чисто,Погода,1
чистый небо,Погода,1
ярко солнце светить утро,Погода,1
утро дождь,Погода,1
ясный,Погода,1
дождь,Погода,1
дождь,Погода,1
снегопад который начинаться воскресение проходить,Погода,1
холодно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
знойно,Погода,1
гавнопад,Погода,1
программа собеседник напоминать личный секретарь круг обязанность входить информирование погода перевод деньги напоминание важный событие запись прием врач многий,Погода,1
помощь botfather создавать новый бот telegram изменять настройка существующий например добавлять описание устанавливать аватарка бот,Погода,1
бранить погода – меняться девять человек десять смочь начинать разговор,Погода,1
климат ирландия изумительный погода гробить,Погода,1
нравиться погода новый англия подождать несколько минута,Погода,1
метеорология научный обоснование неверный прогноз,Погода,1
метеоролог лишь различный образ объяснять погода дело заключаться изменять,Погода,1
плохой погода бывать бывать неподходящий костюм сэр ранульф файнс,Погода,1
разговор погода — разговор дурак,Погода,1
плохой погода бывать бывать неподходящий костюм,Погода,1
всякий человек заводить разговор погода несомненность чувствовать иметь вид чтото,Погода,1
становиться богатый знаменитый влиятельный — равный умирать количество человек приходить твой похороны сильно зависеть погода,Погода,1
миннесота бывать холодный ночь приходиться надевать презерватив сразу,Погода,1
холодно,Погода,1
холодно,Погода,1
холодно,Погода,1
холодно,Погода,1
дождливо,Погода,1
гавнопад,Погода,1
программа собеседник напоминать личный секретарь круг обязанность входить информирование погода перевод деньги напоминание важный событие запись прием врач многий,Погода,1
помощь botfather создавать новый бот telegram изменять настройка существующий например добавлять описание устанавливать аватарка бот,Погода,1
бранить погода – меняться девять человек десять смочь начинать разговор,Погода,1
климат ирландия изумительный погода гробить,Погода,1
нравиться погода новый англия подождать несколько минута,Погода,1
метеорология научный обоснование неверный прогноз,Погода,1
метеоролог лишь различный образ объяснять погода дело заключаться изменять,Погода,1
плохой погода бывать бывать неподходящий костюм сэр ранульф файнс,Погода,1
разговор погода — разговор дурак,Погода,1
плохой погода бывать бывать неподходящий костюм,Погода,1
всякий человек заводить разговор погода несомненность чувствовать иметь вид чтото,Погода,1
становиться богатый знаменитый влиятельный — равный умирать количество человек приходить твой похороны сильно зависеть погода,Погода,1
миннесота бывать холодный ночь приходиться надевать презерватив сразу,Погода,1
холодно,Погода,1
холодно,Погода,1
холодно,Погода,1
холодно,Погода,1
дождливо,Погода,1
гавнопад,Погода,1
б просто финансы беспечивать простой человек интересный,Погода,1
никита скидывать робот макрос код макрос хотябать выкладывать,Погода,1
очки удар накинуть наверное стерлинг несколько удушать взять,Погода,1
инф владеть даж расширение мочь давать комментарий,Погода,1
программа собеседник напоминать личный секретарь круг обязанность входить информирование погода перевод деньги напоминание важный событие запись прием врач многий,Погода,1
помощь botfather создавать новый бот telegram изменять настройка существующий например добавлять описание устанавливать аватарка бот,Погода,1
бранить погода – меняться девять человек десять смочь начинать разговор,Погода,1
климат ирландия изумительный погода гробить,Погода,1
нравиться погода новый англия подождать несколько минута,Погода,1
метеорология научный обоснование неверный прогноз,Погода,1
метеоролог лишь различный образ объяснять погода дело заключаться изменять,Погода,1
плохой погода бывать бывать неподходящий костюм сэр ранульф файнс,Погода,1
разговор погода — разговор дурак,Погода,1
плохой погода бывать бывать неподходящий костюм,Погода,1
всякий человек заводить разговор погода несомненность чувствовать иметь вид чтото,Погода,1
становиться богатый знаменитый влиятельный — равный умирать количество человек приходить твой похороны сильно зависеть погода,Погода,1
миннесота бывать холодный ночь приходиться надевать презерватив сразу,Погода,1
холодно,Погода,1
холодно,Погода,1
холодно,Погода,1
холодно,Погода,1
дождливо,Погода,1
гавнопад,Погода,1
программа собеседник напоминать личный секретарь круг обязанность входить информирование погода перевод деньги напоминание важный событие запись прием врач многий,Погода,1
помощь botfather создавать новый бот telegram изменять настройка существующий например добавлять описание устанавливать аватарка бот,Погода,1
бранить погода – меняться девять человек десять смочь начинать разговор,Погода,1
климат ирландия изумительный погода гробить,Погода,1
нравиться погода новый англия подождать несколько минута,Погода,1
метеорология научный обоснование неверный прогноз,Погода,1
метеоролог лишь различный образ объяснять погода дело заключаться изменять,Погода,1
плохой погода бывать бывать неподходящий костюм сэр ранульф файнс,Погода,1
разговор погода — разговор дурак,Погода,1
плохой погода бывать бывать неподходящий костюм,Погода,1
всякий человек заводить разговор погода несомненность чувствовать иметь вид чтото,Погода,1
становиться богатый знаменитый влиятельный — равный умирать количество человек приходить твой похороны сильно зависеть погода,Погода,1
миннесота бывать холодный ночь приходиться надевать презерватив сразу,Погода,1
климат ирландия изумительный погода гробить,Погода,1
нравиться погода новый англия подождать несколько минута,Погода,1
метеорология научный обоснование неверный прогноз,Погода,1
метеоролог лишь различный образ объяснять погода дело заключаться изменять,Погода,1
плохой погода бывать бывать неподходящий костюм сэр ранульф файнс,Погода,1
разговор погода — разговор дурак,Погода,1
плохой погода бывать бывать неподходящий костюм,Погода,1
всякий человек заводить разговор погода несомненность чувствовать иметь вид чтото,Погода,1
становиться богатый знаменитый влиятельный — равный умирать количество человек приходить твой похороны сильно зависеть погода,Погода,1
предполагать нравиться это тип цвет привлекать внимание нечестный трюк,Погода,1
привет сегодня отпускать сотрудник дом неработоспособность екп,Погода,1
климат ирландия изумительный погода гробить,Погода,1
нравиться погода новый англия подождать несколько минута,Погода,1
метеорология научный обоснование неверный прогноз,Погода,1
метеоролог лишь различный образ объяснять погода дело заключаться изменять,Погода,1
плохой погода бывать бывать неподходящий костюм сэр ранульф файнс,Погода,1
разговор погода — разговор дурак,Погода,1
плохой погода бывать бывать неподходящий костюм,Погода,1
всякий человек заводить разговор погода несомненность чувствовать иметь вид чтото,Погода,1
становиться богатый знаменитый влиятельный — равный умирать количество человек приходить твой похороны сильно зависеть погода,Погода,1
климат ирландия изумительный погода гробить,Погода,1
нравиться погода новый англия подождать несколько минута,Погода,1
метеорология научный обоснование неверный прогноз,Погода,1
метеоролог лишь различный образ объяснять погода дело заключаться изменять,Погода,1
плохой погода бывать бывать неподходящий костюм сэр ранульф файнс,Погода,1
разговор погода — разговор дурак,Погода,1
плохой погода бывать бывать неподходящий костюм,Погода,1
всякий человек заводить разговор погода несомненность чувствовать иметь вид чтото,Погода,1
становиться богатый знаменитый влиятельный — равный умирать количество человек приходить твой похороны сильно зависеть погода,Погода,1
погода,Погода,1
легкий дождик,Погода,1
жарко,Погода,1
жарко,Погода,1
жарко,Погода,1
жарко,Погода,1
жарко,Погода,1
жарко,Погода,1
жарко,Погода,1
жарко,Погода,1
туман,Погода,1
туман,Погода,1
туман,Погода,1
туман,Погода,1
туман,Погода,1
туман,Погода,1
туман,Погода,1
туман,Погода,1
туман,Погода,1
туман,Погода,1
туман,Погода,1
туман,Погода,1
туман,Погода,1
туман,Погода,1
туман,Погода,1
туман,Погода,1
туман,Погода,1
туман,Погода,1
туман,Погода,1
туман,Погода,1
туман,Погода,1
туман,Погода,1
туман,Погода,1
туман,Погода,1
туман,Погода,1
туман,Погода,1
туман,Погода,1
жарко,Погода,1
жарко,Погода,1
жарко,Погода,1
жарко,Погода,1
жарко,Погода,1
жарко,Погода,1
жарко,Погода,1
жарко,Погода,1
жарко,Погода,1
жарко,Погода,1
жарко,Погода,1
жарко,Погода,1
жарко,Погода,1
жарко,Погода,1
жарко,Погода,1
жарко,Погода,1
холодно,Погода,1
холодно,Погода,1
холодно,Погода,1
холодно,Погода,1
холодно,Погода,1
холодно,Погода,1
холодно,Погода,1
холодно,Погода,1
холодно,Погода,1
холодно,Погода,1
холодно,Погода,1
холодно,Погода,1
холодно,Погода,1
холодно,Погода,1
холодно,Погода,1
холодно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
прохладно,Погода,1
